Adam 	﻿A Dong 
Please give us your opinion 	Xin ông cho biết ý kiến 
Please take a look 	Xin ông cứ coi 
Siam, Thailand 	Xiêm 
Soviet 	Xô Viết 
Jerusalem 	Yêrusalem 
Jesus 	Yêsu 
Jesus Christ 	Yêsu Kitô 
1 exclamation of surprise, regret, etc.; 2 sickle; 3 to rush, dash; 4 to gather; 5 to flatter, curry favor with, kiss up to; 6 area of 100 square meters 	A 
Acetylene 	A cê ti len 
Acid 	A cít 
To acidify 	A cít hóa 
Acidity meter 	A cít kế 
To ape, imitate, follow 	A dua 
Agar 	A ga 
Glue, gelatin 	A giao 
Abigail; maidservant, maid, servant 	A hoàn 
Alert 	A léc 
Go ahead!, come on!; outward journey or trip 	A lê 
Hello on phone, in announcements, attention! 	A lô 
Amateur 	A ma tơ 
Amen 	A men 
Close or intimate friend; to flatter 	A mi 
Asbestos 	A mi ăng 
Tonsil 	A mi đan 
Amine 	A min 
Amoeba, ameba 	A míp 
Ammonia 	A mô ni ắc 
Lover, sweetheart 	A măng 
Aniline 	A ni lin 
Anode 	A nốt 
Apatite 	A pa tít 
Opium 	A phiến 
Morphine 	A phiến trắng 
Apartheid 	A pác thai 
Apéritif 	A pê ri típ 
Arsenic 	A sen 
Atropine 	A trô pin 
To follow, imitate, act as an accomplice come around to a way of thinking; accomplice 	A tòng 
To follow 	A tùng 
To rush at someone 	A vào người nào 
Acetylsalicylic acid 	A xpi rin 
Acetylene 	A xê ti len 
Acetone 	A xê ton 
Acid 	A xít 
Amino acid 	A xít a min 
Aliphatic or fatty acid 	A xít béo 
Adrenaline 	A đrê na lin 
Acid 	Acít 
1 anyone, someone, who, whoever, everyone, anyone; 2 to pity, sympathize, empathize with; 3 dust, fine dirt 	Ai 
Everyone, everybody 	Ai ai 
Everyone 	Ai ai cũng 
Anyone, whoever, everyone 	Ai ai cũng đều 
Sad 	Ai bi 
Dirge, elegy, lament 	Ai ca 
Who doesn’t 	Ai chẳng 
Anyone, whoever, everyone, everybody 	Ai cũng 
Everyone knows 	Ai cũng biết 
Everyone says 	Ai cũng cho 
Everyone wants to go 	Ai cũng muốn đi hết 
Everyone has to 	Ai cũng phải 
Everyone is going 	Ai cũng đi hết 
Everybody likes him 	Ai cũng ưa nó 
Unexpectedly, astonishingly, amazingly 	Ai dè 
Mournful remembrance 	Ai hoài 
Someone else 	Ai khác 
Anyone can do 	Ai làm cũng được 
Grief and joy 	Ai lạc 
Anyone who wants to can do it 	Ai muốn làm cũng được 
People do whatever they want 	Ai muốn làm gì thì làm 
Who knows? 	Ai mà biết được 
Who can remember? 	Ai mà nhớ được 
Anyone, everyone 	Ai nấy 
Anyone, everyone 	Ai nấy đều 
Who else? 	Ai nữa 
To grieve and resent; grief and resentment, plaintive 	Ai oán 
With pain 	Ai phong 
Pessimism 	Ai quan 
Obituary, death notice, sad news of a death 	Ai tín 
Person who has lost their mother, orphan 	Ai từ 
To pay homage to the dead, eulogize 	Ai điếu 
Who is there? 	Ai đó? 
Who is it? who goes there? 	Ai đấy 
To fancy 	Ai đời 
Small pagoda, temple; cottage, shack, hermitage, secluded hut 	Am 
Half-sibling 	Am em dị bào 
To know well, know a lot about, understand thoroughly; knowledgeable 	Am hiểu 
To know something inside and out 	Am hiểu cặn kẽ về gì 
Experienced, practiced 	Am luyện 
Temple in the clouds, secluded Buddhist convent or temple 	Am mây 
Ampere 	Am pe 
Ampere hour 	Am pe giờ 
Ammeter 	Am pe kế 
Amplifier 	Am pli 
Phial, ampoule 	Am pun 
To be well versed, conversant with, knowledgeable in 	Am thục 
To know thoroughly, know well, be familiar, intimate with 	Am tường 
Small temple, pagoda 	Am tự 
1 peace, safety, security, safe, secure; 2 saddle 	An 
To pacify the country 	An bang 
To pacify the border 	An biên 
Album 	An bom 
Albumen, albumin 	An bu min 
To arrange, display, preordain, forecast, predestine 	An bài 
Content with one’s poverty, satisfied with one’s poor fate 	An bần 
Alkaloid 	An ca lô ít 
To leave in peace 	An cư 
To live in peace, happiness with one’s occupation 	An cư lạc nghiệp 
To calm quiet, reassure the population or people 	An dân 
To rest to regain one’s health, convalesce 	An dưỡng 
Health resort, sanatorium, rest home 	An dưỡng đường 
To live a leisurely life, live in peace 	An dật 
First cousins 	An em chú bác 
Algin 	An gin 
To sleep soundly, sleep like a log; sound of sleep 	An giấc 
To sleep an endless sleep 	An giấc nghìn thu 
To sleep the long sleep 	An giấc ngàn thu 
Algorithm 	An go rít 
To enjoy peacefully 	An hưởng 
To pass one’s old age peacefully 	An hưởng tuổi già 
Peace, calm, stillness, peaceful life; tranquil, peaceful 	An hảo 
Safe and sound 	An khang 
Bureaucracy, officialdom 	An liêu 
Relaxed, having peace of mind, calm, comfortable 	An lòng 
Peace and comfort or contentment 	An lạc 
To rest peacefully 	An nghĩ 
Easy, relaxed, leisurely 	An nhàn 
Sabbath, holy day 	An nhật 
Peace, health, security, safety 	An ninh 
Border security 	An ninh biên giới 
Public welfare 	An ninh công cộng 
Chemical security 	An ninh hóa học 
Naval security 	An ninh hải quân 
Traffic security 	An ninh hệ thống liên lạc 
Industrial security 	An ninh kỹ nghệ 
Cryptography 	An ninh mật mã 
National security 	An ninh quốc gia 
Domestic security 	An ninh quốc nội 
Local security 	An ninh sở tại 
Physical security 	An ninh thực thể 
Transmission security 	An ninh truyền tin 
Social Security 	An ninh xã hội bắt đầu 
Alpha 	An pha 
Alphabet 	An pha bê 
Content, happy 	An phận 
Content with one’s situation 	An phận thủ thường 
Welfare 	An sinh 
Dumbbell 	An te 
Quiet, tranquil, not worried, safe and sound, unharmed 	An thân 
Sedative, tranquilizer; to tranquillize 	An thần 
Safety, security; safe, secure 	An toàn 
Flank security 	An toàn bên sườn 
Data security 	An toàn dữ liệu 
Safety area, security zone 	An toàn khu 
Workplace, occupational safety 	An toàn lao động 
Security on the march 	An toàn lúc di chuyền 
Frontal security 	An toàn mặt trước 
Anti-mechanical security 	An toàn phòng cơ giới 
Radiological security 	An toàn phóng xạ 
Product safety 	An toàn sản phẩm 
To banish, exile; banishment, exile 	An trí 
Talented man 	An tài 
To bury 	An táng 
Having piece of mind, not worried; assurance, peace 	An tâm 
Alto 	An tô 
Quiet, tranquility 	An tĩnh 
Quiet, peaceful 	An tịnh 
Sitting, seated 	An tọa 
To rest 	An tức 
Gun benzoin 	An tức hương 
Seated, in one’s seat, in place, in one’s seat 	An vị 
Aldehyde 	An đê hít 
Stable, firm 	An định 
To comfort, console, mitigate, ease, alleviate; comfort, solace 	An ủi 
To comfort oneself 	An ủi mình 
To comfort the victims 	An ủi nạn nhân 
Cassia grandis 	And ginger 
Bushel, container, crock, wide-mouthed vase 	Ang 
Approximately; to make a rough estimate 	Ang áng 
1 young man, elder brother, first cousin son of parent’s older sibling, form of address to a young man; 2 England, Great Britain; 3 canary; 4 infant; 5 flower; 6 male hero 	Anh 
Mr. Bau 	Anh Báu 
Cook 	Anh bếp 
Guy, fellow, young man, he, him 	Anh chàng 
Lady’s man 	Anh chàng nịnh đầm 
1 Mr. and Mrs. of young adults; 2 bully, rouge; ringleader, chieftain 	Anh chị 
Everyone, friends 	Anh chị em 
Brother in law husband’s oldest brother 	Anh chồng 
First cousin son of parent’s older sibling 	Anh con nhà bác 
A young cadre 	Anh cán bộ 
Eldest brother, oldest brother 	Anh cả 
Make yourself at home 	Anh cứ tự nhiên như ở nhà anh 
Brave, valiant, heroic, courageous 	Anh dũng 
Brothers and sisters, siblings, brothers, comrades 	Anh em 
Good, close sibling-like friend 	Anh em bạn 
Disagreeing brothers 	Anh em bất hòa 
Brothers and friends everywhere 	Anh em bầu bạn xa gần 
First cousins 	Anh em chú bác 
Brothers and sisters 	Anh em chị em 
Brothers in law 	Anh em cột chèo 
Half-brother, half-sister 	Anh em dị bào 
Cousins 	Anh em họ 
The Wright brothers 	Anh em nhà Wright 
Brother and sister, sibling 	Anh em ruột 
Teammates 	Anh em trong tổ 
Brothers by the same mother, compatriot, fellow countryman, fellow citizens 	Anh em đồng bào 
Beauty, elegance, brilliance, quintessence 	Anh hoa 
Infant 	Anh hài 
Hero, man of worth 	Anh hào 
Hero; heroic 	Anh hùng 
Epic, saga, heroic song 	Anh hùng ca 
Adventurous, reckless 	Anh hùng chủ nghĩa 
Individualistically heroic 	Anh hùng cá nhận 
Heroes 	Anh hùng hào kiệt 
Hero of labor 	Anh hùng lao động 
Army hero 	Anh hùng quân đội 
Blustering bully 	Anh hùng rơm 
Cousin 	Anh họ 
Outstanding man, hero 	Anh kiệt 
Hallowed memory of a deceased person 	Anh linh 
Male driver 	Anh lái xe 
Clear-sighted and able 	Anh minh 
Babies, infants 	Anh nhi 
Child 	Anh nhỉ 
Cook male 	Anh nuôi 
You ought to go to play 	Anh nên đi chơi 
Enlightened or wise king, monarch 	Anh quân 
Elder brother by blood 	Anh ruột 
Brother-in-law husband of one’s elder sister 	Anh rể 
I will 	Anh sẽ 
He 	Anh ta 
He always dresses elegantly 	Anh ta bao giờ cũng ăn mặt nền nã 
His change of mind came out of the blue 	Anh ta thay đổi ý kiến đột ngột 
He is a man of very few words 	Anh ta ít lời lắm 
He has come here, reportedly on business 	Anh ta đến đây, nói là có việc 
Interrupter 	Anh te ruýp tơ 
Young man 	Anh thanh niên 
A naive young man 	Anh thanh niên ngờ nghệch 
Which color do you like best? 	Anh thích màu nào hơn 
Heroine 	Anh thư 
Primrose 	Anh thảo 
Eminent, distinguished, intelligent and handsome 	Anh tuấn 
Luminary, outstanding talent 	Anh tài 
Young male driver 	Anh tài xế 
Elegant and clever 	Anh tú 
Marijuana, poppy 	Anh túc 
English literature 	Anh văn 
1 parrot; 2 nautilus; 3 type of fish pseudogyrinochelus 	Anh vũ 
Brother in law wife’s older brother 	Anh vợ 
Lovers 	Anh yến 
Full 	Anh ách 
Glistening, gleaming 	Anh ách ánh 
Gleaming, glimmering, glistening 	Anh ánh 
You are going too fast 	Anh đi mau quá 
Cherry 	Anh đào 
It’s me 	Anh đây 
He 	Anh ấy 
His anger has subsided 	Anh ấy đã ngớt giận 
1 pond; concave; 3 to measure volume 	Ao 
Polynia 	Ao băng 
Pond and pool 	Ao chuôm 
Fish pond 	Ao cá 
Reentrant angle 	Ao giác 
Ponds and lakes 	Ao hồ 
Reentrant 	Ao khúc tuyến 
Fishpond 	Ao nuôi cá 
Lotus pond 	Ao sen 
Stagnant pond 	Ao tù 
Ounce 	Ao xơ 
To crave, yearn for, long for, long to, wish for 	Ao ước 
Bright and cheerful 	Au 
1 three, tri-; 2 father; 3 wave, ripple 	Ba 
Turtle 	Ba ba 
A sure thing 	Ba bó một giạ 
Several 	Ba bảy 
3D and four-sided, all sides 	Ba bề bốn bên 
Bugbear 	Ba bị 
Three or four 	Ba bốn 
Three or four times 	Ba bốn lần 
Three deaths 	Ba ca tử vong 
To run at full speed 	Ba chân bốn cẳng 
Ups and downs 	Ba chìm bẩy nổi 
Three dots 	Ba chấm 
Bacon 	Ba chỉ 
Careless and fast 	Ba chớp ba nhoáng 
Thirty 	Ba chục 
Three times 	Ba cái 
The three “with’s” live with, eat with and work with 	Ba cùng 
Fixed income 	Ba cọc ba đồng 
Three-month growth rice 	Ba giăng 
Tricycle, trike 	Ba gác 
Three-leaf clover 	Ba gạc 
To brag, boast 	Ba hoa 
Now ~ now ~ 	Ba hồi ~ ba hồi 
Three silences 	Ba không 
Codonopsis 	Ba kích 
Wavemeter 	Ba kế 
Garrulous, talkative, loquacious 	Ba lém 
Ballet 	Ba lê 
Field bag, field kit, knapsack, kit-bag 	Ba lô 
Football 	Ba lông 
Disorganized, undisciplined, idle, worthless, meaningless 	Ba lăng nhăng 
Three times 	Ba lần 
Father and mother 	Ba má 
Three spearhead-attack 	Ba mũi giáp công 
Thirty 	Ba mươi 
Day before Tết 	Ba mươi Tết 
Three days later 	Ba ngày sau 
Trinity 	Ba ngôi 
Tree houses 	Ba nóc nhà 
Three phase 	Ba pha 
Agreeing with everyone, without any opinion of one’s own; yes-man 	Ba phải 
Three-fourths 	Ba phần tư 
Crook, scoundrel 	Ba que 
Three resolves in emulation movement 	Ba quyết tâm 
The three branches of the armed forces 	Ba quân 
Barrel 	Ba ren 
Barium 	Ba ri 
Fence, gate, barrier 	Ba ri e 
Mixed up, messed up 	Ba rọi 
Three autumns, three years 	Ba thu 
Banana tree 	Ba tiêu 
Stick, baton, cane 	Ba toong 
Ill-mannered, have improper speech or conduct, careless 	Ba toác 
350 	Ba trăm rưỡi 
Patrol 	Ba tui 
Three rounds of serving wine or burning incense 	Ba tuần 
Run-down, uncared-for 	Ba vạ 
Parents 	Ba xuân 
Bazaar 	Ba za 
Basalt 	Ba zan 
Base 	Ba zơ 
Rolling waves, misfortune, ups and downs 	Ba đào 
Bazooka 	Ba đô ca 
Three responsibilities women’s emulation movement 	Ba đảm đang 
Superhuman strength 	Ba đầu sáu tay 
3.50 piasters 	Ba đồng rưỡi 
Undulate 	Ba động 
Overcoat 	Ba đờ xuy 
1 to stretch out, extend; 2 byte 	Bai 
Glibly, volubly 	Bai bải 
1 board, committee, commission, department, section; 2 unit of time; 3 to confer, give, grant, award, bestow; 4 ball; 5 fever 	Ban 
Secretariat 	Ban bí thư 
Fever with eruption 	Ban bạch 
To issue, promulgate laws, regulations 	Ban bố 
To issue a law 	Ban bố luật pháp 
Afternoon, in the afternoon 	Ban chiều 
Typhoid fever 	Ban chua 
Executive board, executive committee 	Ban chấp hành 
Leadership council 	Ban chỉ đạo 
Typhoid fever 	Ban cua 
Balcony 	Ban công 
Supply with, provide with, furnish with 	Ban cấp 
Examining body 	Ban giám khảo 
Board of directors, management 	Ban giám đốc 
To issue, pass laws, etc., publish 	Ban hành 
To pass a law 	Ban hành luật 
To issue a decree, order 	Ban hành sắc luật 
Theater group 	Ban hát 
Rose-drop 	Ban hồng 
To praise, congratulate 	Ban khen 
Censorship board 	Ban kiểm duyệt 
Planning board, committee 	Ban kế hoạch 
Theater troupe, theatrical group 	Ban kịch 
Jelly glue made from antlers; megalossaur 	Ban long 
Early morning 	Ban mai 
Catharsis, cantharides 	Ban miêu 
In the daytime, during the day 	Ban ngày 
In broad daylight 	Ban ngày ban mặt 
Orchestra, band 	Ban nhạc 
A little while ago, just now 	Ban nãy 
Just now, a short time ago, just a little while ago 	Ban nẫy 
To distribute, dispense 	Ban phát 
To bless 	Ban phước 
Board of directors or trustees 	Ban quản trị 
This morning, in the morning 	Ban sáng 
Beginning stage, outset, origin 	Ban sơ 
Early morning 	Ban sớm 
To reward 	Ban thưởng 
Hierarchy 	Ban thứ 
At noon, noontime, midday 	Ban trưa 
To grant, bestow, award 	Ban tặng 
In the evening 	Ban tối 
Purpura 	Ban xuất huyết 
Investigative committee 	Ban điều tra 
At night, during the night 	Ban đêm 
At first, from the beginning, at the beginning, initially; initial 	Ban đầu 
Erythema, scarlet fever, scarlatina, measles 	Ban đỏ 
To bestow favors, grant a favor 	Ban ơn 
To grant a boon 	Ban ơn mưa móc 
1 state, country, nation; 2 to help, protect, assist 	Bang 
Assistant district chief, government clerk 	Bang biện 
State, nation, country 	Bang gia 
International relations 	Bang giao 
Formal relations 	Bang giao chính thức 
Head of a congregation 	Bang trưởng 
To aid, help, assist 	Bang trợ 
Assistant district chief, government clerk 	Bang tá 
Ball, football 	Banh 
1 how much, many, so much, so many, some, any; 2 envelope, bag, pack, case, sleeve; to cover, enclose 	Bao 
Wrapping, packaging 	Bao bì 
Cover, envelope, covering; to envelope, protect 	Bao bọc 
To screen, shield, protect 	Bao che 
Ballast 	Bao cát 
Budget subsidies 	Bao cấp 
Box of matches 	Bao diêm 
Generous, magnanimous; to tolerate; tolerance 	Bao dung 
To organize, arrange, produce 	Bao giàn 
Paper bag 	Bao giấy 
When, at what time, every time, always, any time, whenever 	Bao giờ 
Always, whenever 	Bao giờ cũng 
Anytime is fine 	Bao giờ cũng được 
Packaging 	Bao gói 
Bag of rice 	Bao gạo 
To consist of, include, embrace, have, be made up of, comprise 	Bao gồm 
Perianth 	Bao hoa 
To contain, include, comprise, cover 	Bao hàm 
Scabbard 	Bao kiếm 
Huge, immense, tremendous, vast 	Bao la 
Reed sack 	Bao lát 
For how long, however long 	Bao lâu 
Balcony, railing on a balcony 	Bao lơn 
Indusium 	Bao mô 
Bed roll, bed sack, sleeping bag 	Bao ngủ 
How much, how many, all, ever, however much, however many 	Bao nhiêu 
Any number quantity, amount will do 	Bao nhiêu cũng được 
So many times, how many times 	Bao nhiêu lần 
How many years, so many years 	Bao nhiêu năm 
How many years of age 	Bao nhiêu tuổi 
Perianth 	Bao nhụy 
Not to mind 	Bao nài 
Much, how much? 	Bao nả 
Anther 	Bao phấn 
Pleura 	Bao phổi 
To cover up, wrap, envelope, include 	Bao phủ 
To surround, be surrounded by, circle, encompass 	Bao quanh 
To contain, include, embrace 	Bao quát 
Barracks bag 	Bao quân trang 
Anthocarp 	Bao quả 
To not mind hardship 	Bao quản 
Duffel bag 	Bao quần áo 
Rifle scabbard 	Bao súng 
Pistol holster 	Bao súng lục 
To outflank 	Bao sườn 
Glove 	Bao tay 
Package of cigarettes 	Bao thuốc 
Pack of cigarettes 	Bao thuốc lá 
Powder bag 	Bao thuốc súng 
Envelope 	Bao thơ 
To cover, embrace, include, wrap 	Bao trùm 
Pericardium 	Bao tâm 
Sash 	Bao tượng 
Bag, jute bag 	Bao tải 
Stomach 	Bao tử 
To encircle, besiege, surround, blockade 	Bao vây 
How far 	Bao xa 
To protect 	Bao yểm 
Room and board 	Bao ăn ở 
Rucksack 	Bao đeo lưng 
1 to fly; 2 trowel; 3 you plural; 4 to fade of color 	Bay 
To vanish, disappear 	Bay biến 
Flowery, poetic, polished, refined 	Bay bướm 
Nose dive 	Bay bổ nhào 
Fly very high 	Bay bổng 
Tactical navigation 	Bay chiến thuật 
To fly to 	Bay chuyền 
Crab 	Bay chếch ngang 
Traverse flying 	Bay hình chữ chi 
To evaporate 	Bay hơi 
Instrument flying 	Bay không thấy phía trước 
To fly very low 	Bay la 
Glide, soar, hover 	Bay liệng 
Hedge hopping 	Bay là là gần đất 
To fly away, fly off 	Bay lên 
Zoom 	Bay lên theo đường thẳng đứng 
To fly, hover, glide 	Bay lượn 
Inverted flight of a plane 	Bay lật úp 
Fade 	Bay màu 
Run 	Bay ngang 
To move around, change jobs 	Bay nhẩy 
Instrument flying 	Bay nhờ khí cụ 
To fly all about, flit about 	Bay nhởn nhơ 
To fly by, fly across 	Bay qua 
Roll 	Bay quay tròn 
To overshoot 	Bay quá mục tiêu 
To circle of an airplane 	Bay quần 
To pull out, lift up 	Bay ra 
Outside pin 	Bay soắn đảo ngược 
Maneuvering flight 	Bay thao dượt 
Flight at lower altitude 	Bay thấp 
Test flight 	Bay thử 
To fly into 	Bay vào 
To besiege 	Bay vây 
Contour flying 	Bay vòng quanh 
To fly around the moon 	Bay vòng quanh Mặt Trăng 
To fly down, drop down 	Bay xuống 
Undulating flying 	Bay đảo lên đảo xuống 
Inverted flying 	Bay đảo ngược 
Base 	Bazơ 
1 flask, small wine bottle; 2 to bleat 	Be 
Bleat of a goat 	Be be 
Smallish 	Be bé 
Smeared, stained, crushed 	Be bét 
Secret 	Bem 
Bel; skip, dumpster, grab, bucket 	Ben 
Bentonite 	Ben tô nít 
Benzol, benzene 	Ben zen 
To cut off 	Beng 
Noise of gongs 	Beng beng 
To cut the neck of 	Beng cổ 
To have one’s head cut off 	Beng mất đầu 
Panther; scraggy; to pinch 	Beo 
Fattish 	Beo béo 
To pinch someone’s cheek 	Beo má 
1 tombstone, slab, stele; 2 marble toy, pellet; 3 sad, sorrowful 	Bi 
Sad, tragic 	Bi ai 
To stammer, babble 	Bi ba bi bô 
Elegy, plaint 	Bi ca 
Epitaph 	Bi chí 
Touching, moving 	Bi cảm 
Billiards, pool 	Bi di 
Sadness and gladness, grief and joy 	Bi hoan 
Sad 	Bi hoài 
Tragic comedy 	Bi hài kịch 
Dramatic poem 	Bi khúc 
Painful 	Bi khổ 
Stele, stone slab 	Bi ký 
Epigraphy 	Bi ký học 
Tragedy, drama 	Bi kịch 
Pessimistic, negative 	Bi quan 
Sad, mournful, melancholy 	Bi sầu 
Pathetic, mournful 	Bi thương 
Sad, painful, mournful 	Bi thảm 
Pathetic 	Bi tráng 
Epitaph 	Bi văn 
Rolling ball 	Bi xoay 
Tragic, heart-rending 	Bi đát 
Canteen 	Bi đông 
1 tombstone, stone, slab, stele; 2 target, bull’s eye; 3 beer 	Bia 
Target, bull’s eye 	Bia bắn 
Paper target 	Bia giấy 
Silhouette target 	Bia hình 
Towed target 	Bia kéo 
Public opinion 	Bia miệng 
Drogue target 	Bia móc 
Landscape target 	Bia phong cảnh 
Beer and wine, alcohol 	Bia rượu 
Drinks accompanied by female companionship 	Bia ôm 
Tombstone, stone slab, stele 	Bia đá 
Cannon fodder 	Bia đỡ đạn 
Battery 	Bin 
Apartment building 	Bin đinh 
1 soldier, military; 2 see bênh 	Binh 
Military revolt, mutiny 	Binh biến 
Military affairs 	Binh bị 
Military organization 	Binh chế 
Armed services, military 	Binh chủng 
Arsenal 	Binh công xưởng 
